,idx_adjust,location,geometry,scale,base,residential,natural,commercial
0,0,"0, 0","POLYGON ((72.35142552666667 -7.2243488, 72.3537747 -7.2243488, 72.3537747 -7.226788266666667, 72.35142552666667 -7.226788266666667, 72.35142552666667 -7.2243488))",0.1,1,1,1,1
1,0,"0, 1","POLYGON ((72.35142552666667 -7.226788266666667, 72.3537747 -7.226788266666667, 72.3537747 -7.229227733333334, 72.35142552666667 -7.229227733333334, 72.35142552666667 -7.226788266666667))",0.1,1,1,1,1
2,0,"0, 2","POLYGON ((72.35142552666667 -7.229227733333334, 72.3537747 -7.229227733333334, 72.3537747 -7.231667200000001, 72.35142552666667 -7.231667200000001, 72.35142552666667 -7.229227733333334))",0.1,1,1,1,1
3,0,"0, 3","POLYGON ((72.35142552666667 -7.231667200000001, 72.3537747 -7.231667200000001, 72.3537747 -7.234106666666668, 72.35142552666667 -7.234106666666668, 72.35142552666667 -7.231667200000001))",0.1,1,1,1,1
4,0,"0, 4","POLYGON ((72.35142552666667 -7.234106666666668, 72.3537747 -7.234106666666668, 72.3537747 -7.236546133333335, 72.35142552666667 -7.236546133333335, 72.35142552666667 -7.234106666666668))",0.1,1,1,1,1
5,0,"0, 5","POLYGON ((72.35142552666667 -7.236546133333335, 72.3537747 -7.236546133333335, 72.3537747 -7.238985600000002, 72.35142552666667 -7.238985600000002, 72.35142552666667 -7.236546133333335))",0.1,1,1,1,1
6,0,"0, 6","POLYGON ((72.35142552666667 -7.238985600000002, 72.3537747 -7.238985600000002, 72.3537747 -7.241425066666669, 72.35142552666667 -7.241425066666669, 72.35142552666667 -7.238985600000002))",0.1,1,1,1,1
7,0,"0, 7","POLYGON ((72.35142552666667 -7.241425066666669, 72.3537747 -7.241425066666669, 72.3537747 -7.243864533333336, 72.35142552666667 -7.243864533333336, 72.35142552666667 -7.241425066666669))",0.1,1,1,1,1
8,0,"0, 8","POLYGON ((72.35142552666667 -7.243864533333336, 72.3537747 -7.243864533333336, 72.3537747 -7.246304000000003, 72.35142552666667 -7.246304000000003, 72.35142552666667 -7.243864533333336))",0.1,1,1,1,1
9,0,"0, 9","POLYGON ((72.35142552666667 -7.246304000000003, 72.3537747 -7.246304000000003, 72.3537747 -7.24874346666667, 72.35142552666667 -7.24874346666667, 72.35142552666667 -7.246304000000003))",0.1,1,1,1,1
10,0,"0, 10","POLYGON ((72.35142552666667 -7.24874346666667, 72.3537747 -7.24874346666667, 72.3537747 -7.251182933333337, 72.35142552666667 -7.251182933333337, 72.35142552666667 -7.24874346666667))",0.1,1,1,1,1
11,0,"0, 11","POLYGON ((72.35142552666667 -7.251182933333337, 72.3537747 -7.251182933333337, 72.3537747 -7.253622400000004, 72.35142552666667 -7.253622400000004, 72.35142552666667 -7.251182933333337))",0.1,1,1,1,1
12,0,"0, 12","POLYGON ((72.35142552666667 -7.253622400000004, 72.3537747 -7.253622400000004, 72.3537747 -7.256061866666671, 72.35142552666667 -7.256061866666671, 72.35142552666667 -7.253622400000004))",0.1,1,1,1,1
13,0,"0, 13","POLYGON ((72.35142552666667 -7.256061866666671, 72.3537747 -7.256061866666671, 72.3537747 -7.258501333333338, 72.35142552666667 -7.258501333333338, 72.35142552666667 -7.256061866666671))",0.1,1,1,1,1
14,0,"0, 14","POLYGON ((72.35142552666667 -7.258501333333338, 72.3537747 -7.258501333333338, 72.3537747 -7.260940800000005, 72.35142552666667 -7.260940800000005, 72.35142552666667 -7.258501333333338))",0.1,1,1,1,1
15,0,"0, 15","POLYGON ((72.35142552666667 -7.260940800000005, 72.3537747 -7.260940800000005, 72.3537747 -7.263380266666672, 72.35142552666667 -7.263380266666672, 72.35142552666667 -7.260940800000005))",0.1,1,1,1,1
16,0,"0, 16","POLYGON ((72.35142552666667 -7.263380266666672, 72.3537747 -7.263380266666672, 72.3537747 -7.265819733333339, 72.35142552666667 -7.265819733333339, 72.35142552666667 -7.263380266666672))",0.1,1,1,1,1
17,0,"0, 17","POLYGON ((72.35142552666667 -7.265819733333339, 72.3537747 -7.265819733333339, 72.3537747 -7.268259200000005, 72.35142552666667 -7.268259200000005, 72.35142552666667 -7.265819733333339))",0.1,1,1,1,1
18,0,"0, 18","POLYGON ((72.35142552666667 -7.268259200000005, 72.3537747 -7.268259200000005, 72.3537747 -7.270698666666672, 72.35142552666667 -7.270698666666672, 72.35142552666667 -7.268259200000005))",0.1,1,1,1,1
19,0,"0, 19","POLYGON ((72.35142552666667 -7.270698666666672, 72.3537747 -7.270698666666672, 72.3537747 -7.273138133333339, 72.35142552666667 -7.273138133333339, 72.35142552666667 -7.270698666666672))",0.1,1,1,1,1
20,0,"0, 20","POLYGON ((72.35142552666667 -7.273138133333339, 72.3537747 -7.273138133333339, 72.3537747 -7.275577600000006, 72.35142552666667 -7.275577600000006, 72.35142552666667 -7.273138133333339))",0.1,1,1,1,1
21,0,"0, 21","POLYGON ((72.35142552666667 -7.275577600000006, 72.3537747 -7.275577600000006, 72.3537747 -7.278017066666673, 72.35142552666667 -7.278017066666673, 72.35142552666667 -7.275577600000006))",0.1,1,1,1,1
22,0,"0, 22","POLYGON ((72.35142552666667 -7.278017066666673, 72.3537747 -7.278017066666673, 72.3537747 -7.28045653333334, 72.35142552666667 -7.28045653333334, 72.35142552666667 -7.278017066666673))",0.1,1,1,1,1
23,0,"0, 23","POLYGON ((72.35142552666667 -7.28045653333334, 72.3537747 -7.28045653333334, 72.3537747 -7.282896000000007, 72.35142552666667 -7.282896000000007, 72.35142552666667 -7.28045653333334))",0.1,1,1,1,1
